point_hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
448__13,346,13.178379871062512,-1.3865348751631272,17.114196955814705,11.502745275313927,23.217006335211618,tail_30m,0.03468208092485549
448__13,346,13.178379871062512,-1.3865348751631272,17.114196955814705,11.502745275313927,23.217006335211618,tail_45m,0.017341040462427744
62__16,286,10.679244803340657,6.067489459117191,14.41410735403174,8.202354370511276,22.97286933228365,tail_30m,0.05944055944055944
62__16,286,10.679244803340657,6.067489459117191,14.41410735403174,8.202354370511276,22.97286933228365,tail_45m,0.01048951048951049
481__15,204,10.479775543678793,3.7705586825833173,15.25959591003515,8.15947970767467,22.684023280932198,tail_30m,0.058823529411764705
481__15,204,10.479775543678793,3.7705586825833173,15.25959591003515,8.15947970767467,22.684023280932198,tail_45m,0.04411764705882353
370__15,353,12.262363401992094,-0.7279414869352782,17.19277432806921,9.887688923858732,21.620496261231416,tail_30m,0.0764872521246459
370__15,353,12.262363401992094,-0.7279414869352782,17.19277432806921,9.887688923858732,21.620496261231416,tail_45m,0.031161473087818695
589__13,215,10.576457070621451,2.9978727521004176,15.337965427505788,7.496446907825046,21.473545371439915,tail_30m,0.07441860465116279
589__13,215,10.576457070621451,2.9978727521004176,15.337965427505788,7.496446907825046,21.473545371439915,tail_45m,0.023255813953488372
385__15,207,11.12894942124484,-2.6304514690085603,13.599163609397696,9.866890398213286,21.36319111432359,tail_30m,0.014492753623188406
385__15,207,11.12894942124484,-2.6304514690085603,13.599163609397696,9.866890398213286,21.36319111432359,tail_45m,0.0
347__13,225,11.764037008938638,-8.448919006403948,13.922681604509759,11.436383214442515,21.266489385304595,tail_30m,0.022222222222222223
347__13,225,11.764037008938638,-8.448919006403948,13.922681604509759,11.436383214442515,21.266489385304595,tail_45m,0.0
5__16,215,9.169984744422356,4.2235157245455435,12.68940576383254,6.538227903244941,21.063849077667193,tail_30m,0.027906976744186046
5__16,215,9.169984744422356,4.2235157245455435,12.68940576383254,6.538227903244941,21.063849077667193,tail_45m,0.004651162790697674
5__13,209,8.956254103675763,5.846475087607571,12.275168467292586,6.019872308623928,20.834052573586206,tail_30m,0.023923444976076555
5__13,209,8.956254103675763,5.846475087607571,12.275168467292586,6.019872308623928,20.834052573586206,tail_45m,0.004784688995215311
448__15,221,11.392894760952096,-5.992742541967873,13.71705872169963,10.791148330257982,20.56729557993404,tail_30m,0.02262443438914027
448__15,221,11.392894760952096,-5.992742541967873,13.71705872169963,10.791148330257982,20.56729557993404,tail_45m,0.0
370__14,313,9.940207684812151,2.0974787614367,14.52881038972683,6.970131354408757,20.549250831522933,tail_30m,0.05750798722044728
370__14,313,9.940207684812151,2.0974787614367,14.52881038972683,6.970131354408757,20.549250831522933,tail_45m,0.025559105431309903
70__15,245,10.116688467349423,-7.4670517031538415,12.420622971201778,8.719827217843878,20.547507309916853,tail_30m,0.004081632653061225
70__15,245,10.116688467349423,-7.4670517031538415,12.420622971201778,8.719827217843878,20.547507309916853,tail_45m,0.0
276__14,260,9.140716044154104,3.3217463450227154,12.306709487523685,6.561977767940732,20.24233641871343,tail_30m,0.03461538461538462
276__14,260,9.140716044154104,3.3217463450227154,12.306709487523685,6.561977767940732,20.24233641871343,tail_45m,0.007692307692307693
385__14,216,9.21685832866532,0.3536299867024002,11.913350208324058,7.294772796200633,20.140169257651205,tail_30m,0.018518518518518517
385__14,216,9.21685832866532,0.3536299867024002,11.913350208324058,7.294772796200633,20.140169257651205,tail_45m,0.0
456__17,200,10.9430411254515,2.9835304569622854,14.714778040557555,8.726277336963724,20.036513746568463,tail_30m,0.04
456__17,200,10.9430411254515,2.9835304569622854,14.714778040557555,8.726277336963724,20.036513746568463,tail_45m,0.015
408__13,250,8.237996952561591,4.607185357680258,11.782065603209194,5.249517835655039,19.629273573019272,tail_30m,0.032
408__13,250,8.237996952561591,4.607185357680258,11.782065603209194,5.249517835655039,19.629273573019272,tail_45m,0.008
640__10,230,9.937699418675132,0.1447350192134248,12.734965142630221,8.305019403323344,19.26608590503504,tail_30m,0.043478260869565216
640__10,230,9.937699418675132,0.1447350192134248,12.734965142630221,8.305019403323344,19.26608590503504,tail_45m,0.0
370__16,296,10.287463334192786,-6.184391102102208,12.439880329711091,9.77551967196716,19.16376436467241,tail_30m,0.013513513513513514
370__16,296,10.287463334192786,-6.184391102102208,12.439880329711091,9.77551967196716,19.16376436467241,tail_45m,0.0
448__12,236,10.750753003474768,-3.138996208330564,12.852457900790922,10.219089237709873,19.15904841408915,tail_30m,0.00847457627118644
448__12,236,10.750753003474768,-3.138996208330564,12.852457900790922,10.219089237709873,19.15904841408915,tail_45m,0.0
292__8,206,10.704306783529065,4.409712491937418,20.395914492378367,6.296276137139918,19.10613986841978,tail_30m,0.06310679611650485
292__8,206,10.704306783529065,4.409712491937418,20.395914492378367,6.296276137139918,19.10613986841978,tail_45m,0.043689320388349516
70__14,203,8.958513711090395,-3.5206619197111397,11.236984326015039,7.237828700538387,18.25151905998085,tail_30m,0.0049261083743842365
70__14,203,8.958513711090395,-3.5206619197111397,11.236984326015039,7.237828700538387,18.25151905998085,tail_45m,0.0
408__12,233,7.56592711938539,4.061236787900597,10.319960373586156,5.491262723670516,17.965722722140708,tail_30m,0.017167381974248927
408__12,233,7.56592711938539,4.061236787900597,10.319960373586156,5.491262723670516,17.965722722140708,tail_45m,0.0
571__16,221,10.542604761117245,-8.76835858674679,12.006599682071021,10.593827058239942,17.825827132460795,tail_30m,0.004524886877828055
571__16,221,10.542604761117245,-8.76835858674679,12.006599682071021,10.593827058239942,17.825827132460795,tail_45m,0.0
370__17,223,10.120394649901662,-5.395664247941095,12.81747361388394,9.273996639263991,17.76845526984412,tail_30m,0.02242152466367713
370__17,223,10.120394649901662,-5.395664247941095,12.81747361388394,9.273996639263991,17.76845526984412,tail_45m,0.008968609865470852
370__13,253,9.192661559600108,3.071160612093738,15.053782687186857,6.074047280909799,17.28938934867025,tail_30m,0.03557312252964427
370__13,253,9.192661559600108,3.071160612093738,15.053782687186857,6.074047280909799,17.28938934867025,tail_45m,0.02766798418972332
97__8,307,7.612055942955573,5.040211276261036,10.079932956398672,5.531860755784884,16.798526300464772,tail_30m,0.009771986970684038
97__8,307,7.612055942955573,5.040211276261036,10.079932956398672,5.531860755784884,16.798526300464772,tail_45m,0.0
383__14,202,9.942218268603424,-8.11322970613552,11.304116323927305,10.463478502349938,16.694138288615537,tail_30m,0.0
383__14,202,9.942218268603424,-8.11322970613552,11.304116323927305,10.463478502349938,16.694138288615537,tail_45m,0.0
440__16,208,7.5218095140471855,2.835801278932206,10.051361231651763,5.463078606872093,16.106444868047237,tail_30m,0.014423076923076924
440__16,208,7.5218095140471855,2.835801278932206,10.051361231651763,5.463078606872093,16.106444868047237,tail_45m,0.0
383__13,227,8.951492708465315,-5.443909270456921,10.572455021533788,8.613781419353742,16.01041866583343,tail_30m,0.0
383__13,227,8.951492708465315,-5.443909270456921,10.572455021533788,8.613781419353742,16.01041866583343,tail_45m,0.0
571__15,231,8.738435489198302,-2.974513084189699,11.258015890272926,7.513578172810192,15.875885000222596,tail_30m,0.017316017316017316
571__15,231,8.738435489198302,-2.974513084189699,11.258015890272926,7.513578172810192,15.875885000222596,tail_45m,0.004329004329004329
97__13,230,6.300588108069289,1.9688433485047214,8.701556130376648,4.5224891319108576,15.864261745358256,tail_30m,0.0
97__13,230,6.300588108069289,1.9688433485047214,8.701556130376648,4.5224891319108576,15.864261745358256,tail_45m,0.0
84__14,209,9.176059281021038,-7.571006387771608,10.61505143083537,9.73018170765544,15.824834563134647,tail_30m,0.0
84__14,209,9.176059281021038,-7.571006387771608,10.61505143083537,9.73018170765544,15.824834563134647,tail_45m,0.0
408__15,237,7.658008176486221,1.648915346479231,10.782650339059892,5.630666962645279,15.797047428311119,tail_30m,0.02109704641350211
408__15,237,7.658008176486221,1.648915346479231,10.782650339059892,5.630666962645279,15.797047428311119,tail_45m,0.008438818565400843
408__16,204,7.450173062540162,3.088032691489432,11.293252988763825,4.9274737719248485,15.743578134067228,tail_30m,0.03431372549019608
408__16,204,7.450173062540162,3.088032691489432,11.293252988763825,4.9274737719248485,15.743578134067228,tail_45m,0.00980392156862745
372__14,260,8.439408671532524,-4.208329672829451,10.380419777378266,7.596976302449322,15.664140438464717,tail_30m,0.007692307692307693
372__14,260,8.439408671532524,-4.208329672829451,10.380419777378266,7.596976302449322,15.664140438464717,tail_45m,0.0
84__13,212,8.250840990743495,-3.408402035837628,10.40937061651501,7.201692097547673,15.650302934273661,tail_30m,0.0047169811320754715
84__13,212,8.250840990743495,-3.408402035837628,10.40937061651501,7.201692097547673,15.650302934273661,tail_45m,0.0047169811320754715
372__13,250,8.620727580638704,-3.848451720870749,10.518469256921652,7.862181038610041,15.582267357635416,tail_30m,0.004
372__13,250,8.620727580638704,-3.848451720870749,10.518469256921652,7.862181038610041,15.582267357635416,tail_45m,0.004
62__14,267,8.55019867105448,4.579903025242325,12.907597512885406,6.122615050254058,15.53104048645913,tail_30m,0.0449438202247191
62__14,267,8.55019867105448,4.579903025242325,12.907597512885406,6.122615050254058,15.53104048645913,tail_45m,0.018726591760299626
372__15,203,8.399757929458367,-4.8062871620327705,9.948582945978558,7.9167477136441065,15.178171878410565,tail_30m,0.0
372__15,203,8.399757929458367,-4.8062871620327705,9.948582945978558,7.9167477136441065,15.178171878410565,tail_45m,0.0
401__14,226,8.867407103036385,2.4029555407126257,14.746861701405866,5.797565241895349,14.668731130648398,tail_30m,0.05309734513274336
401__14,226,8.867407103036385,2.4029555407126257,14.746861701405866,5.797565241895349,14.668731130648398,tail_45m,0.03982300884955752
640__9,230,7.246533579840805,-0.20485114365844814,9.23113712445732,6.50598617757362,14.49066326713123,tail_30m,0.008695652173913044
640__9,230,7.246533579840805,-0.20485114365844814,9.23113712445732,6.50598617757362,14.49066326713123,tail_45m,0.0
277__15,203,6.330412074150527,3.1987890471379012,8.299742175776716,5.089672416496409,14.192919087433351,tail_30m,0.0
277__15,203,6.330412074150527,3.1987890471379012,8.299742175776716,5.089672416496409,14.192919087433351,tail_45m,0.0
411__10,244,7.425305990648111,-6.3228911731537725,8.609013635367521,7.416832933394291,13.613682179979286,tail_30m,0.0
411__10,244,7.425305990648111,-6.3228911731537725,8.609013635367521,7.416832933394291,13.613682179979286,tail_45m,0.0
